,network,robustness
0,bortezomib,0.9245751224347015
1,apoptosis,0.7351907869664634
2,bt474_long,0.621240234375
3,bt474_short,0.64013671875
4,colitis,0.7698137555803571
5,death,0.7475237165178571
6,hcc1954_long,0.6323828125
7,hcc1954_short,0.6442718505859375
8,hgf,0.9045087028952206
9,mammalian,0.9490966796875
10,mapk,0.8887962485259434
11,oxidative,0.8480674342105263
12,fibroblasts,0.7665067165017986
13,skbr3_long,0.734111328125
14,skbr3_short,0.6154632568359375
15,tlgl_2008,0.8848977010758197
16,tlgl_2011,0.8997477213541667
17,migration,0.8498992919921875
